"","brand","emotion","age","n"
"818","caramellos","despair",30,65
"819","caramellos","despair",27,64
"820","caramellos","despair",35,64
"821","caramellos","despair",26,62
"822","caramellos","despair",45,62
"823","caramellos","despair",31,61
"824","caramellos","joy",25,60
"825","caramellos","despair",34,57
"826","caramellos","joy",50,57
"827","caramellos","despair",28,56
"828","caramellos","despair",29,56
"829","caramellos","despair",24,54
"830","caramellos","despair",37,49
"831","caramellos","despair",46,46
"832","caramellos","joy",47,46
"833","caramellos","joy",48,46
"834","caramellos","despair",42,45
"835","caramellos","joy",52,44
"836","caramellos","joy",24,43
"837","caramellos","joy",22,42
"838","caramellos","despair",36,41
"839","caramellos","joy",51,41
"840","caramellos","despair",25,40
"841","caramellos","despair",44,40
"842","caramellos","joy",23,38
"843","caramellos","joy",49,38
"844","caramellos","despair",40,37
"845","caramellos","despair",50,37
"846","caramellos","joy",53,37
"847","caramellos","despair",38,33
"848","caramellos","despair",47,33
"849","caramellos","joy",54,33
"850","caramellos","despair",23,31
"851","caramellos","despair",39,30
"852","caramellos","joy",57,29
"853","caramellos","neutral",30,28
"854","caramellos","neutral",35,28
"855","caramellos","joy",55,27
"856","caramellos","despair",21,26
